Title,Price,Bedrooms,Square Feet,Full Address,monthly,apartment,cats are OK - purrr,dogs are OK - wooof,laundry on site,air conditioning,off-street parking,EV charging,w/d in unit,carport,no smoking,attached garage,detached garage,laundry in bldg,Fee Needed To Apply,wheelchair accessible,no parking,furnished,street parking,no laundry on site,house,w/d hookups,date_added
Westwood Upscale 1 Bedroom 1 BA* Resort Style Amenities* Pet-Friendly,"$6,620",1br,1129,"10700 Wilshire Ave, Los Angeles, CA 90024",1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2024-05-31
"Resort Style Junior Olympic Pool, Video Cameras, Walk to the beach!!!","$2,849",1br,672,None listed,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2024-05-31
1 Bedroom in Palms + A/C + Wood Style Floors + SS Appliances,"$2,250",1br,,"3737 Vinton Avenue, Culver City, CA 90034",1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31
"Beautiful Landscaping, Great Location, Central Air and Heating","$2,964",1br,664,"1920 Sawtelle Ave, Los Angeles, CA 90025",1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2024-05-31
"Low flow water fixtures, Stainless Steel Appliances, LEED Features **","$3,494",1br,616,"1625 Lincoln Blvd, Santa Monica, CA 90404",1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,2024-05-31
1+1 in Brentwood/Westwood ADJ | SS Appliances | Must SEE!!,"$1,975",1br,600,"11676-11678 Darlington Avenue, Los Angeles, CA 90049",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2024-05-31
Furnished One Bedroom with 2 months FREE Rent!,"$2,535",1br,350,"1759 Beloit Ave, Los Angeles, CA 90025",1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,2024-05-31
Beautiful One Bedroom Apartment - RENT NOW W/ 1 MONTH FREE SPECIAL!,"$2,700",1br,628,"11400 Rochester Avenue, Los Angeles, CA 90025",1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31
"1bd 1ba, Electric car charging stations, Santa Monica CA","$4,095",1br,801,"210 Santa Monica Blvd, Santa Monica, CA 90401",1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2024-05-31
Home is Where the Heart is.,"$3,712",1br,870,"550 South Barrington Avenue, Los Angeles, CA 90049",1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2024-05-31
"One Place, Many Things, Pre-Leasing Now! Westwood Village","$2,908",1br,700,"415 Gayley Ave, Los Angeles, CA 90024",1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,2024-05-31
Virtual Tour -W/D in Unit -Newly Renovated 1 Bedroom in Santa Monica,"$3,350",1br,475,"1915 Ocean Way, Santa Monica, CA 90405",1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2024-05-31
1 Bedroom in Westwood - Air Conditioning - Renovated - Plank Floors,"$2,695",1br,656,"10919 Wellworth, Los Angeles, CA 90024",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31
"1 Bedroom Brentwood ✸ Beautiful Remodels, Wood Floors, Modern Finishes","$2,595",1br,,"1242 McClellan Dr, Los Angeles, CA 90025",1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,2024-05-31
"Laundry Room, Private Balconies, Beautiful Landscaping","$2,231",1br,647,"12427 W Jefferson Blvd, Los Angeles, CA 90066",1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,2024-05-31
Delightful 1 bed / 1 bath in Culver City. 704 Sq Ft. Great value!,"$3,025",1br,704,"10300 Venice Blvd, Culver City, CA 90232",1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2024-05-31
The living is easy at our community! Comfortable 1 bed/1 bath!,"$3,025",1br,704,"10300 Venice Blvd, Culver City, CA 90232",1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2024-05-31
No car? No problem! Great community near transit lines! 1 bed/1 bath,"$3,025",1br,704,"10300 Venice Blvd, Culver City, CA 90232",1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2024-05-31
Check us out! Great 1 BD / 1 BA by public transportation. 704 SqFt!,"$3,025",1br,704,"10300 Venice Blvd, Culver City, CA 90232",1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2024-05-31
"Internet and cable ready, Walk in closets, 1/BD 1/BA","$4,095",1br,801,"210 Santa Monica Blvd, Santa Monica, CA 90401",1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2024-05-31
"Stainless Appliances, Gas Cooking, Bike Storage, On-Site Retail","$5,021",1br,802,"512 Rose Avenue, Venice, CA 90291",1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,2024-05-31
"Within a short distance to the campus, great location!","$3,360",1br,720,"4108 Del Rey Ave, Marina del Rey, CA 90292",1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,2024-05-31
"Rooftop Deck, Air Conditioning, New Construction","$3,250",1br,693,"11701 Gateway Blvd., Los Angeles, CA 90064",1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2024-05-31
Renovated Apartment 6 Blocks from the Beach!!! Bay on 6th,"$2,849",1br,672,None listed,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2024-05-31
"1 bedroom, Central A/C and heat., Santa Monica CA","$4,095",1br,801,"210 Santa Monica Blvd, Santa Monica, CA 90401",1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2024-05-31
"Central Air/Heating, Hardwood Floors*, Ceiling Fan*, Breakfast Bar","$2,235",1br,797,"3516 Sawtelle, Los Angeles, CA 90066",1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2024-05-31
"Assigned Parking, Beautiful Landscaping, Laundry Facility","$2,964",1br,664,"1920 Sawtelle Ave, Los Angeles, CA 90025",1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2024-05-31
"One Place, Many Things, Pre-Leasing Now! Westwood Village","$2,571",1br,630,"415 Gayley Ave, Los Angeles, CA 90024",1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,2024-05-31
"Controlled Access/Gated, Bike Racks, High Speed Internet","$3,375",1br,744,"10833 Wilshire Blvd, Los Angeles, CA 90024",1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2024-05-31
2 WEEKS FREE + Picnic Area with BBQ + Fridge + 1 Bedroom in Venice,"$2,450",1br,750,"237 Fourth Avenue, Venice, CA 90291",1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2024-05-31
STUNNING LUXURY TOP FLOOR APARTMENT IN PRIME SANTA MONICA!,$3295.00,1br,,"933 6TH ST, SANTA MONICA, CA 90403",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31
Available now! 1Bed plus 1Bath in Great Location In Santa Monica,$2495.00,1br,,"829 Ocean Park Blvd, Santa Monica, CA 90405",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31
Seize the Savings: One Month FREE Rent on Available Units!,"$2,750",1br,693,"11400 Rochester Avenue, Los Angeles, CA 90025",1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31
Live at Overland Avenue Apts 1 Bedroom + Vinyl Plank Flooring,"$1,950",1br,600,"3244 Overland Avenue, Palms, CA 90034",1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31
1 Bedroom 1 Bath in West Los Angeles ^ Remodeled ^ Parking,"$2,599",1br,750,"1342 Wellesley Avenue, West Los Angeles, CA 90025",1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31
1 Bedroom Suite in Westwood Village ~ Plank Floors ~ A/C ~ Furnished,"$4,125",1br,650,"1033 Hilgard Avenue, Los Angeles, CA 90024",1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2024-05-31
1 Bedroom in Beautiful Westwood * $500 Off * Extra Storage,"$2,785",1br,1000,"433 Kelton Avenue, Los Angeles, CA 90024",1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2024-05-31
1 Bedroom 1 Bath in Palms | 2 Weeks Free | Stainless Steel Appls,"$1,850",1br,550,"3258 Overland Avenue, Palms, CA 90034",1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31
SPECIALS ^ 1 Bedroom 1 Bath in Westwood ^ Parking ^ Central A/C,"$2,695",1br,634,"520 Kelton Avenue, Los Angeles, CA 90024",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31
Furnished Co-living in Westwood ^ Recently Renovated ^ Central A/C,"$1,750",1br,153,"1533 Selby Avenue, Los Angeles, CA 90024",1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2024-05-31
Modern 1 Bedroom in West L.A/Close to Brentwood + Outdoor Lounges,"$2,813",1br,727,"11916 West Pico Blvd., West Los Angeles, CA 90064",1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2024-05-31
WESTWOOD 1 Bedroom 1 BA + Rooftop Deck + Fireplace + Balcony,"$2,650",1br,750,"10989 Rochester Avenue, Los Angeles, CA 90024",1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2024-05-31
"1 Bedroom in Westwood, Brand New Gym, Specials, Renovated","$3,395",1br,700,"870 Hilgard Avenue, Los Angeles, CA 90024",1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2024-05-31
1 Bedroom 1 Bath in West Los Angeles + Air Conditioning + Parking,"$2,650",1br,850,"1810 South Bentley Avenue, West Los Angeles, CA 91423",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31
SS Appliances + 1 Bedroom 1 BA in West Los Angeles + Fully Renovated,"$2,599",1br,750,"1342 Wellesley Avenue, West Los Angeles, CA 90025",1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31
"Westwood 1 Bedroom 1 Bath, Perfect for Students of UCLA, $500 Off!","$2,785",1br,1000,"433 Kelton Avenue, Los Angeles, CA 90024",1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2024-05-31
Westwood Village 1 Bedroom Suite + Furnished + Great Value!,"$4,125",1br,650,"1033 Hilgard Avenue, Los Angeles, CA 90024",1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2024-05-31
"Community Grills, Breakfast Bar, On-site Laundry Facility, Dishwasher","$2,235",1br,797,"3516 Sawtelle, Los Angeles, CA 90066",1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2024-05-31
"Beautiful Courtyard, Air Conditioning, Spacious Floor Plans","$3,250",1br,693,"11701 Gateway Blvd., Los Angeles, CA 90064",1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2024-05-31
"Package Receiving, Cable Ready, Swimming Pool & Spa","$2,548",1br,850,"3420 Sepulveda Blvd, Los Angeles, CA 90034",1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31
"Emergency Maintenance, Hardwood-Inspired Floors, 1/bd 1/ba","$2,471",1br,382,"1447 Lincoln Blvd, Santa Monica, CA 90401",1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2024-05-31
2 WEEKS FREE + Picnic Area with BBQ + Fridge + 1 Bedroom in Venice,"$2,450",1br,750,"237 Fourth Avenue, Venice, CA 90291",1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2024-05-31
"Great Location, Laundry Facility, Fireplace*, Wood-Style Flooring","$2,402",1br,664,"1920 Sawtelle Ave, Los Angeles, CA 90025",1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2024-05-31
Remodeled 1 Bedroom in Marina Del Rey | Balcony | Full Kitchen | A/C,"$2,695",1br,750,"415 Washington Boulevard, Venice, CA 90292",1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31
Remodeled 1+1 in West Los Angeles**SPECIALS**Parking**Quartz Counters,"$2,250",1br,700,"4111 Mclaughlin Avenue, Los Angeles, CA 90066",1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31
WEST LOS ANGELES 1 Bedroom 1 Bath + Fitness Center + Swimming Pool,"$2,408",1br,650,"3230 Overland Avenue, Culver City, CA 90034",1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31
"Solar Photovoltaic System, Central A/C and heat., 1/BD","$4,095",1br,801,"210 Santa Monica Blvd, Santa Monica, CA 90401",1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2024-05-31
1 Bed / 1 Bath. Convenient in-home washer and dryer included.,"$3,255",1br,516,"3644 Overland Ave, Los Angeles, CA 90034",1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,2024-05-31
Pet friendly community in Los Angeles. 1 BD / 1 BA. Call for tour!,"$3,275",1br,579,"3644 Overland Ave, Los Angeles, CA 90034",1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,2024-05-31
Simply breath-taking! Amazing views at The Roy,"$3,190",1br,544,"3644 Overland Ave, Los Angeles, CA 90034",1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,2024-05-31
"Smoke Free, Laundry Facility, Cable Ready, Vaulted Ceiling","$2,677",1br,767,"535 Gayley Avenue, Westwood, CA 90024",1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2024-05-31
"Private Balconies, Elfa Closet System","$2,471",1br,382,"1447 Lincoln Blvd, Santa Monica, CA 90401",1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2024-05-31
"Gorgeous new construction! Get yourself a brand new 1 bed, 1 bath!","$3,525",1br,631,"3630 Overland Ave, Los Angeles, CA 90034",1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2024-05-31
Feel refreshed in our resort style swimming pool! 1 BD / 1 BA!,"$3,145",1br,525,"3644 Overland Ave, Los Angeles, CA 90034",1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,2024-05-31
"Natural Gas Range/Oven, Central HVAC, Laundry Room, Disposal","$2,231",1br,647,"12427 W Jefferson Blvd, Los Angeles, CA 90066",1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2024-05-31
"Lofts*, Assigned Parking, Breakfast Bar*, Fully Equipped Kitchens","$2,402",1br,664,"1920 Sawtelle Ave, Los Angeles, CA 90025",1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2024-05-31
"Resort-style heated pool, Mirrored oversized closets, Balcony or patio","$2,706",1br,634,"233 South Barrington Avenue, Los Angeles, CA 90049",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31
"Private Balconies, Elevator Access, Controlled Access","$2,471",1br,382,"1447 Lincoln Blvd, Santa Monica, CA 90401",1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2024-05-31
"24-Hour cardio fitness center, Ceiling fan in the dining area","$3,247",1br,774,"233 South Barrington Avenue, Los Angeles, CA 90049",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31
