Title,Price,Bedrooms,Square Feet,Full Address,monthly,apartment,cats are OK - purrr,dogs are OK - wooof,laundry on site,air conditioning,off-street parking,EV charging,w/d in unit,carport,no smoking,attached garage,detached garage,laundry in bldg,Fee Needed To Apply,wheelchair accessible,no parking,furnished,street parking,no laundry on site,house,w/d hookups,date_added,latitude,longitude,nearest_budget_grocery_store_distance,nearest_budget_grocery_store,nearest_midTier_grocery_store_distance,nearest_midTier_grocery_store,nearest_premium_grocery_store_distance,nearest_premium_grocery_store
"Garage, Elevator, Covered Parking, Refrigerator","$3,404",1br,700.0,"10959 Rochester Avenue, Los Angeles, CA 90024",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2024-05-31,34.0560268,-118.4445086,1.3967401574381177,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.4333800561847219,"Trader Joe's - 1000 Glendon Ave, Los Angeles",0.28521138190325934,"Bristol Farms - 1515 Westwood Blvd, Los Angeles"
"1bed1bath, Renovated, Modern Fixtures/Appliances, Rooftop Pool, Gym","$2,301",1br,670.0,"3324 Castle Heights Ave., Los Angeles, CA 90034",1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2024-05-31,34.0305075,-118.3998031,2.2052381013457163,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",1.9432874285832757,"Ralphs - 11361 National Blvd, Los Angeles",2.2541508873924054,"Whole Foods Market - 11666 National Blvd, Los Angeles"
"On-Site Management, Beautiful Landscaping, Assigned Gated Parking","$2,235",1br,797.0,"3516 Sawtelle, Los Angeles, CA 90066",1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2024-05-31,34.0165601,-118.4233841,1.6085088103420697,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.8684957259971924,"Ralphs - 11361 National Blvd, Los Angeles",0.9299153995882329,"Whole Foods Market - 11666 National Blvd, Los Angeles"
"Window Coverings, Bike Racks, Electronic Thermostat","$2,903",1br,771.0,"10983 Wellworth Ave., Los Angeles, CA 90024",1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2024-05-31,34.056554,-118.4456552,1.4512190121955877,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.4093251274142085,"Trader Joe's - 1000 Glendon Ave, Los Angeles",0.328353291383101,"Whole Foods Market - 1050 Gayley Ave, Los Angeles"
"Dishwasher, Free Weights, Controlled Access/Gated","$4,676",1br,941.0,"10833 Wilshire Blvd, Los Angeles, CA 90024",1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2024-05-31,34.0599575,-118.4408673,1.6219727098472632,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.23066448067932793,"Trader Joe's - 1000 Glendon Ave, Los Angeles",0.3573312456019647,"Whole Foods Market - 1050 Gayley Ave, Los Angeles"
"One Month Free Rent!!, 24-Hour cardio fitness center, Balcony or patio","$3,047",1br,800.0,"233 South Barrington Avenue, Los Angeles, CA 90049",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31,34.0638641,-118.4692654,1.6855062011842188,"Smart & Final - 12210 Santa Monica Blvd W, Los Angeles",1.3114778956195163,"Ralphs Fresh Fare - 12057 Wilshire Blvd, Los Angeles",0.7156669290325806,"Whole Foods Market - 11737 San Vicente Blvd, Los Angeles"
Great Experiences Are Just Around the Corner. Westwood Village.,"$2,828",1br,700.0,"415 Gayley Ave, Los Angeles, CA 90024",1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,2024-05-31,34.07017,-118.4544301,2.1744226287655324,"Smart & Final - 12210 Santa Monica Blvd W, Los Angeles",0.8005558265452603,"Ralphs Fresh Fare - 10861 Weyburn Ave, Los Angeles",0.7546116911370452,"Whole Foods Market - 1050 Gayley Ave, Los Angeles"
"Garbage Disposal, Breakfast Bar*, Private Patio or Balcony","$2,964",1br,664.0,"1920 Sawtelle Ave, Los Angeles, CA 90025",1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2024-05-31,34.0422605,-118.4444631,0.5525237502951821,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.5717313158220909,"Ralphs Fresh Fare - 11727 W Olympic Blvd, Los Angeles",0.8061002753658811,"Bristol Farms - 1515 Westwood Blvd, Los Angeles"
"Vaulted Ceiling, Spa, Controlled Access Parking, Pool","$2,677",1br,767.0,"535 Gayley Avenue, Westwood, CA 90024",1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2024-05-31,34.0692142,-118.4507019,2.1782263042537378,"Smart & Final - 12210 Santa Monica Blvd W, Los Angeles",0.598282292539239,"Ralphs Fresh Fare - 10861 Weyburn Ave, Los Angeles",0.5951260875562286,"Whole Foods Market - 1050 Gayley Ave, Los Angeles"
"""Bay Street""""Newly renovated 1bedroom 1 bath - Walk to Beach!!","$1,100",1br,,None listed,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31,,,,N/A,,N/A,,N/A
+Very nice and bright 1 Bedroom/1 bath APT.--Near Wilshire and Montana,"$1,340",1br,,None listed,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2024-05-31,,,,N/A,,N/A,,N/A
Centinela Ave//--Renovated 1BR+1BA Upper Apartment IN Santa Monica!,"$1,150",1br,700.0,None listed,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2024-05-31,,,,N/A,,N/A,,N/A
"Fabulous 1 BR living space, in-unit washer/dryer. Call us today!","$5,200",1br,716.0,"3630 Overland Ave, Los Angeles, CA 90034",1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2024-05-31,34.02276390000001,-118.4095784,1.869103946656898,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",1.3781279930386157,"Ralphs - 11361 National Blvd, Los Angeles",1.625450064234588,"Whole Foods Market - 11666 National Blvd, Los Angeles"
"Beautiful Landscaping, Renovations, Cozy Fireplaces, Central A/C","$2,231",1br,647.0,"12427 W Jefferson Blvd, Los Angeles, CA 90066",1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2024-05-31,33.981011,-118.410259,2.2249868086124787,"Costco Wholesale - 13463 Washington Blvd, Marina Del Rey",1.647324361888129,"Ralphs Fresh Fare - 4700 Admiralty Way, Marina Del Rey",3.029643835951993,"Erewhon - 585 Venice Blvd., Venice"
Wood Style Floors - SPECIALS - Cat-Friendly - 1+1 in West Los Angeles,"$2,250",1br,700.0,"4111 Mclaughlin Avenue, Los Angeles, CA 90066",1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31,34.0021072,-118.4198936,1.6515665294705808,"Costco Wholesale - 13463 Washington Blvd, Marina Del Rey",1.8188557912583023,"Ralphs Fresh Fare - 4311 Lincoln Blvd, Marina Del Rey",1.7476155245782714,"Whole Foods Market - 11666 National Blvd, Los Angeles"
Everything You Need. All Right Here.,"$3,712",1br,870.0,None listed,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2024-05-31,,,,N/A,,N/A,,N/A
Because location really is everything! Prelease Today! Close to UCLA.,"$2,793",1br,700.0,"415 Gayley Ave, Los Angeles, CA 90024",1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,2024-05-31,34.07017,-118.4544301,2.1744226287655324,"Smart & Final - 12210 Santa Monica Blvd W, Los Angeles",0.8005558265452603,"Ralphs Fresh Fare - 10861 Weyburn Ave, Los Angeles",0.7546116911370452,"Whole Foods Market - 1050 Gayley Ave, Los Angeles"
Westwood Upscale 1 Bedroom 1 BA* Resort Style Amenities* Pet-Friendly,"$6,620",1br,1129.0,"10700 Wilshire Ave, Los Angeles, CA 90024",1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2024-05-31,34.0602416,-118.4359174,1.6336181446155085,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.4710444740284941,"Trader Joe's - 1000 Glendon Ave, Los Angeles",0.5384958791875192,"Bristol Farms - 1515 Westwood Blvd, Los Angeles"
"Resort Style Junior Olympic Pool, Video Cameras, Walk to the beach!!!","$2,849",1br,672.0,None listed,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2024-05-31,,,,N/A,,N/A,,N/A
1 Bedroom in Palms + A/C + Wood Style Floors + SS Appliances,"$2,250",1br,,"3737 Vinton Avenue, Culver City, CA 90034",1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31,34.022256,-118.4042437,2.1530593237269344,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",1.6852950397064166,"Ralphs - 11361 National Blvd, Los Angeles",1.930909655628443,"Whole Foods Market - 11666 National Blvd, Los Angeles"
"Beautiful Landscaping, Great Location, Central Air and Heating","$2,964",1br,664.0,"1920 Sawtelle Ave, Los Angeles, CA 90025",1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2024-05-31,34.0422605,-118.4444631,0.5525237502951821,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.5717313158220909,"Ralphs Fresh Fare - 11727 W Olympic Blvd, Los Angeles",0.8061002753658811,"Bristol Farms - 1515 Westwood Blvd, Los Angeles"
"Low flow water fixtures, Stainless Steel Appliances, LEED Features **","$3,494",1br,616.0,"1625 Lincoln Blvd, Santa Monica, CA 90404",1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,2024-05-31,34.0162998,-118.487424,1.7140898279601824,"Smart & Final Extra! - 604 Lincoln Blvd, Venice",0.25283871903905125,"Trader Joe's - 500 Broadway, Santa Monica",1.2148342109717405,"Whole Foods Market - 1425 Montana Ave, Santa Monica"
1+1 in Brentwood/Westwood ADJ | SS Appliances | Must SEE!!,"$1,975",1br,600.0,"11676-11678 Darlington Avenue, Los Angeles, CA 90049",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2024-05-31,34.0529169,-118.4636073,0.9071690830265614,"Smart & Final - 12210 Santa Monica Blvd W, Los Angeles",0.5838210138016068,"Ralphs Fresh Fare - 12057 Wilshire Blvd, Los Angeles",0.21982432844448602,"Whole Foods Market - 11737 San Vicente Blvd, Los Angeles"
Furnished One Bedroom with 2 months FREE Rent!,"$2,535",1br,350.0,"1759 Beloit Ave, Los Angeles, CA 90025",1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,2024-05-31,34.0450031,-118.4459401,0.7496658328631086,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.7194042630566829,"Ralphs Fresh Fare - 11727 W Olympic Blvd, Los Angeles",0.6607787356494521,"Bristol Farms - 1515 Westwood Blvd, Los Angeles"
Beautiful One Bedroom Apartment - RENT NOW W/ 1 MONTH FREE SPECIAL!,"$2,700",1br,628.0,"11400 Rochester Avenue, Los Angeles, CA 90025",1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31,34.0483122,-118.4539033,0.8409247881480358,"Smart & Final - 12210 Santa Monica Blvd W, Los Angeles",0.7885200149277635,"Ralphs Fresh Fare - 12057 Wilshire Blvd, Los Angeles",0.8415531851178917,"Bristol Farms - 1515 Westwood Blvd, Los Angeles"
"1bd 1ba, Electric car charging stations, Santa Monica CA","$4,095",1br,801.0,"210 Santa Monica Blvd, Santa Monica, CA 90401",1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2024-05-31,34.0148949,-118.4965919,2.099804750655249,"Smart & Final Extra! - 604 Lincoln Blvd, Venice",0.28386043758032004,"Trader Joe's - 500 Broadway, Santa Monica",1.244720372955476,"Whole Foods Market - 1425 Montana Ave, Santa Monica"
Home is Where the Heart is.,"$3,712",1br,870.0,"550 South Barrington Avenue, Los Angeles, CA 90049",1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2024-05-31,34.0583996,-118.4680795,1.301927919463336,"Smart & Final - 12210 Santa Monica Blvd W, Los Angeles",0.9296848943109,"Ralphs Fresh Fare - 12057 Wilshire Blvd, Los Angeles",0.3322921506927556,"Whole Foods Market - 11737 San Vicente Blvd, Los Angeles"
"One Place, Many Things, Pre-Leasing Now! Westwood Village","$2,908",1br,700.0,"415 Gayley Ave, Los Angeles, CA 90024",1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,2024-05-31,34.07017,-118.4544301,2.1744226287655324,"Smart & Final - 12210 Santa Monica Blvd W, Los Angeles",0.8005558265452603,"Ralphs Fresh Fare - 10861 Weyburn Ave, Los Angeles",0.7546116911370452,"Whole Foods Market - 1050 Gayley Ave, Los Angeles"
Virtual Tour -W/D in Unit -Newly Renovated 1 Bedroom in Santa Monica,"$3,350",1br,475.0,"1915 Ocean Way, Santa Monica, CA 90405",1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2024-05-31,34.0067869,-118.4907579,1.5785615372989752,"Smart & Final Extra! - 604 Lincoln Blvd, Venice",0.5871936020270503,"Trader Joe's - 500 Broadway, Santa Monica",1.257364335807221,"Whole Foods Market - 225 Lincoln Blvd, Venice"
1 Bedroom in Westwood - Air Conditioning - Renovated - Plank Floors,"$2,695",1br,656.0,"10919 Wellworth, Los Angeles, CA 90024",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31,34.0569275,-118.4438287,1.4464458966561595,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.3691171396955286,"Trader Joe's - 1000 Glendon Ave, Los Angeles",0.3019888981364706,"Bristol Farms - 1515 Westwood Blvd, Los Angeles"
"1 Bedroom Brentwood ✸ Beautiful Remodels, Wood Floors, Modern Finishes","$2,595",1br,,"1242 McClellan Dr, Los Angeles, CA 90025",1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,2024-05-31,34.0410062,-118.4691986,0.2866749786995905,"Smart & Final - 12210 Santa Monica Blvd W, Los Angeles",0.29969749234721055,"Ralphs Fresh Fare - 12057 Wilshire Blvd, Los Angeles",0.21237898248084033,"Bristol Farms - 3105 Wilshire Blvd, Santa Monica"
"Laundry Room, Private Balconies, Beautiful Landscaping","$2,231",1br,647.0,"12427 W Jefferson Blvd, Los Angeles, CA 90066",1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,2024-05-31,33.981011,-118.410259,2.2249868086124787,"Costco Wholesale - 13463 Washington Blvd, Marina Del Rey",1.647324361888129,"Ralphs Fresh Fare - 4700 Admiralty Way, Marina Del Rey",3.029643835951993,"Erewhon - 585 Venice Blvd., Venice"
Delightful 1 bed / 1 bath in Culver City. 704 Sq Ft. Great value!,"$3,025",1br,704.0,"10300 Venice Blvd, Culver City, CA 90232",1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2024-05-31,34.020852,-118.4025694,2.2832807611363544,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",1.7969685901668493,"Ralphs - 11361 National Blvd, Los Angeles",2.0298978573054907,"Whole Foods Market - 11666 National Blvd, Los Angeles"
The living is easy at our community! Comfortable 1 bed/1 bath!,"$3,025",1br,704.0,"10300 Venice Blvd, Culver City, CA 90232",1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2024-05-31,34.020852,-118.4025694,2.2832807611363544,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",1.7969685901668493,"Ralphs - 11361 National Blvd, Los Angeles",2.0298978573054907,"Whole Foods Market - 11666 National Blvd, Los Angeles"
No car? No problem! Great community near transit lines! 1 bed/1 bath,"$3,025",1br,704.0,"10300 Venice Blvd, Culver City, CA 90232",1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2024-05-31,34.020852,-118.4025694,2.2832807611363544,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",1.7969685901668493,"Ralphs - 11361 National Blvd, Los Angeles",2.0298978573054907,"Whole Foods Market - 11666 National Blvd, Los Angeles"
Check us out! Great 1 BD / 1 BA by public transportation. 704 SqFt!,"$3,025",1br,704.0,"10300 Venice Blvd, Culver City, CA 90232",1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2024-05-31,34.020852,-118.4025694,2.2832807611363544,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",1.7969685901668493,"Ralphs - 11361 National Blvd, Los Angeles",2.0298978573054907,"Whole Foods Market - 11666 National Blvd, Los Angeles"
"Internet and cable ready, Walk in closets, 1/BD 1/BA","$4,095",1br,801.0,"210 Santa Monica Blvd, Santa Monica, CA 90401",1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2024-05-31,34.0148949,-118.4965919,2.099804750655249,"Smart & Final Extra! - 604 Lincoln Blvd, Venice",0.28386043758032004,"Trader Joe's - 500 Broadway, Santa Monica",1.244720372955476,"Whole Foods Market - 1425 Montana Ave, Santa Monica"
"Stainless Appliances, Gas Cooking, Bike Storage, On-Site Retail","$5,021",1br,802.0,"512 Rose Avenue, Venice, CA 90291",1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,2024-05-31,33.9983179,-118.4733241,0.5457831576265026,"Smart & Final Extra! - 604 Lincoln Blvd, Venice",0.6915176083236237,"Ralphs - 910 Lincoln Blvd, Venice",0.27836581490258544,"Whole Foods Market - 225 Lincoln Blvd, Venice"
"Within a short distance to the campus, great location!","$3,360",1br,720.0,"4108 Del Rey Ave, Marina del Rey, CA 90292",1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,2024-05-31,33.98891589999999,-118.4443491,0.2903232522877552,"Costco Wholesale - 13463 Washington Blvd, Marina Del Rey",0.32851980327339714,"Ralphs Fresh Fare - 4311 Lincoln Blvd, Marina Del Rey",1.017899644724615,"Erewhon - 585 Venice Blvd., Venice"
"Rooftop Deck, Air Conditioning, New Construction","$3,250",1br,693.0,"11701 Gateway Blvd., Los Angeles, CA 90064",1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2024-05-31,34.02849399999999,-118.443677,0.6616733869179222,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.4793340312459953,"Trader Joe's - 11755 W Olympic Blvd, Los Angeles",0.5284057971493725,"Whole Foods Market - 11666 National Blvd, Los Angeles"
Renovated Apartment 6 Blocks from the Beach!!! Bay on 6th,"$2,849",1br,672.0,None listed,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2024-05-31,,,,N/A,,N/A,,N/A
"1 bedroom, Central A/C and heat., Santa Monica CA","$4,095",1br,801.0,"210 Santa Monica Blvd, Santa Monica, CA 90401",1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2024-05-31,34.0148949,-118.4965919,2.099804750655249,"Smart & Final Extra! - 604 Lincoln Blvd, Venice",0.28386043758032004,"Trader Joe's - 500 Broadway, Santa Monica",1.244720372955476,"Whole Foods Market - 1425 Montana Ave, Santa Monica"
"Central Air/Heating, Hardwood Floors*, Ceiling Fan*, Breakfast Bar","$2,235",1br,797.0,"3516 Sawtelle, Los Angeles, CA 90066",1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2024-05-31,34.0165601,-118.4233841,1.6085088103420697,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.8684957259971924,"Ralphs - 11361 National Blvd, Los Angeles",0.9299153995882329,"Whole Foods Market - 11666 National Blvd, Los Angeles"
"Assigned Parking, Beautiful Landscaping, Laundry Facility","$2,964",1br,664.0,"1920 Sawtelle Ave, Los Angeles, CA 90025",1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2024-05-31,34.0422605,-118.4444631,0.5525237502951821,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.5717313158220909,"Ralphs Fresh Fare - 11727 W Olympic Blvd, Los Angeles",0.8061002753658811,"Bristol Farms - 1515 Westwood Blvd, Los Angeles"
"One Place, Many Things, Pre-Leasing Now! Westwood Village","$2,571",1br,630.0,"415 Gayley Ave, Los Angeles, CA 90024",1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,2024-05-31,34.07017,-118.4544301,2.1744226287655324,"Smart & Final - 12210 Santa Monica Blvd W, Los Angeles",0.8005558265452603,"Ralphs Fresh Fare - 10861 Weyburn Ave, Los Angeles",0.7546116911370452,"Whole Foods Market - 1050 Gayley Ave, Los Angeles"
"Controlled Access/Gated, Bike Racks, High Speed Internet","$3,375",1br,744.0,"10833 Wilshire Blvd, Los Angeles, CA 90024",1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2024-05-31,34.0599575,-118.4408673,1.6219727098472632,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.23066448067932793,"Trader Joe's - 1000 Glendon Ave, Los Angeles",0.3573312456019647,"Whole Foods Market - 1050 Gayley Ave, Los Angeles"
2 WEEKS FREE + Picnic Area with BBQ + Fridge + 1 Bedroom in Venice,"$2,450",1br,750.0,"237 Fourth Avenue, Venice, CA 90291",1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2024-05-31,33.9981119,-118.4759566,0.6947884967646495,"Smart & Final Extra! - 604 Lincoln Blvd, Venice",0.8429799546904776,"Ralphs - 910 Lincoln Blvd, Venice",0.40681252804423734,"Whole Foods Market - 225 Lincoln Blvd, Venice"
STUNNING LUXURY TOP FLOOR APARTMENT IN PRIME SANTA MONICA!,$3295.00,1br,,"933 6TH ST, SANTA MONICA, CA 90403",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31,34.0241346,-118.5002508,2.320481562886832,"Smart & Final - 12210 Santa Monica Blvd W, Los Angeles",0.6146334892847969,"Vons - 1311 Wilshire Blvd, Santa Monica",0.6819373628328399,"Whole Foods Market - 1425 Montana Ave, Santa Monica"
