Title,Price,Bedrooms,Square Feet,Full Address,monthly,apartment,cats are OK - purrr,dogs are OK - wooof,laundry on site,air conditioning,off-street parking,EV charging,w/d in unit,carport,no smoking,attached garage,detached garage,laundry in bldg,Fee Needed To Apply,wheelchair accessible,no parking,furnished,street parking,no laundry on site,house,w/d hookups,date_added
Move to the Beach! Studio's and 1 Bedrooms - Bay on 6th Apartments,"$2,849 ",1br,672,None listed,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
Newly Remodeled 1 Bedroom in Mar Vista ** Stainless Steel Appliances,"$2,625 ",1br,,None listed,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,2024-03-20
"SS Appliances, Walk-in Closet, Upgraded Counters | 1+1 in Venice","$3,095 ",1br,750,"232-236 Third Ave, Venice, CA 90291",1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
1 Bedroom 1 Bath in West L.A. with A/C * SS Appliances,"$2,895 ",1br,700,"1801 Federal Avenue, Los Angeles, CA 90025",1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
1 Bedroom in the Heart of Beautiful Westwood ++ Ideal for Students,"$2,725 ",1br,700,"433 Kelton Avenue, Los Angeles, CA 90024",1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
Westwood 1BR 1BA Apt w/ Wood Flooring Throughout!,"$2,895 ",1br,,"10930 Ashton Ave, Los Angeles, CA 90024",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,2024-03-20
1 Bedroom 1 BA in West L.A. | Hardwood Style Flrs | Parking | Quartz,"$2,250 ",1br,700,None listed,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
1 Bedroom in Marina Del Rey -Quartz Counters -Fitness Center -Gated,"$3,295 ",1br,750,"415 Washington Boulevard, Venice, CA 90292",1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
Mar Vista/West Los Angeles 1 BEDROOM + Pool + A/C + Fully Renovated,"$2,350 ",1br,681,"3749 McLaughlin Ave, West Los Angeles, CA 90066",1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
1 Bed / 1 Bath Westwood Apartment in Great Location!,"$2,800 ",1br,,"1441 Midvale Ave, Los Angeles, CA 90024",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,2024-03-20
"1 Month Free, SS Appliances, Furnished Co-Living in West LA, W/D","$2,050 ",1br,200,"Butler Ave, Los Angeles, CA 90025",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,2024-03-20
"1/bd, in Santa Monica CA, Elfa Closet System","$2,471 ",1br,382,"1447 Lincoln Blvd, Santa Monica, CA 90401",1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
1 Bedroom 1 Bath in West Los Angeles * Quartz Counters * Parking,"$2,595 ",1br,800,"1709 South Westgate Avenue, West Los Angeles, CA 90025",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
WESTWOOD 1 Bedroom - Renovated Unit - Refrigerator - Call for Details!,"$2,595 ",1br,688,None listed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
Beautiful 1 Bedroom In West Los Angeles * Ceiling Fan * Quartz,"$2,325 ",1br,700,"1323 Federal Avenue, West Los Angeles, CA 90025",1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
Pet Friendly 1 Bedroom Apartment with Central A/c and Heat!,"$2,858 ",1br,745,"3740 Keystone Av, Los Angeles, CA 90034",1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
1 Bedroom in Marina Del Rey ^ Quartz Counters ^ Fitness Center ^ A/C,"$3,295 ",1br,750,None listed,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
"Elegant and Convenient 1 Bedroom, 1 Bathroom in Mid-City","$2,000 ",1br,800,None listed,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
Beautiful 1 Bed and 1 Bath Apt* Lots of Natural Light * UNIQUE! *,"$2,295 ",1br,,"1824 Manning Ave, Los Angeles, CA 90025",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
Check us out! Great 1 BD / 1 BA by public transportation. 704 SqFt!,"$3,125 ",1br,704,"10300 Venice Blvd, Culver City, CA 90232",1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
Stunning One Bedroom Apartment - The Lifestyle You Deserve.,"$2,987 ",1br,870,"550 South Barrington Avenue, Los Angeles, CA 90049",1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
1 Bedroom 1 Bath in Palms || A/C | Wood Style Floors | SS Appliances,"$2,150 ",1br,,None listed,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
🌃 Recently Renovated 1 Bedroom in Santa Monica w/ Refrigerator 🌃,"$3,095 ",1br,720,None listed,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
Renovated 1 Bedroom in Westwood *A/C *Refrigerator *Vinyl Plank Floors,"$2,395 ",1br,707,None listed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
1 Bedroom Suite in Westwood Village ^ Fireplace ^ Coffee Bar,"$3,195 ",1br,650,"1033 Hilgard Avenue, Los Angeles, CA 90024",1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
Renovated Furnished Co-living Near UCLA - Central A/C - Patio/Balcony,"$1,695 ",1br,143,"1533 Selby Avenue, Los Angeles, CA 90024",1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,2024-03-20
1 Bedroom in West Los Angeles | Vinyl Plank Floors | Patio/Balcony,"$2,500 ",1br,650,"1737 Stoner Avenue, Los Angeles, CA 90025",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
Move in with Ease: One Month FREE Rent Offer Inside!,"$2,903 ",1br,665,None listed,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
"1 Bed, Walk in closets, Smoke free community","$3,095 ",1br,670,"210 Santa Monica Blvd, Santa Monica, CA 90401",1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,2024-03-20
Renovated 1 Bedroom in Brentwood | Hardwood Flooring | Much More,"$3,195 ",1br,600,None listed,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
Remodeled 1+1 in Brentwood | Plank Flooring | Fridge | Gym | Much More,"$3,495 ",1br,750,None listed,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
Limited Offer: One Month FREE Rent on Available Units!,"$2,918 ",1br,682,None listed,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
1 Bedroom in West Los Angeles ^ Refrigerator ^ A/C ^ Fitness Center,"$2,250 ",1br,650,"3230 Overland Avenue, Culver City, CA 90034",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
Westwood 1 Bed / 1 Bath w/ Washer / Dryer. Near UCLA,"$3,175 ",1br,,"962 Hilgard Ave, Los Angeles, CA 90024",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,2024-03-20
SS Appliances | Heated Pool | Gym | Upgraded 1 Bedroom in Westwood,"$3,531 ",1br,700,"870 Hilgard Avenue, Los Angeles, CA 90024",1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,2024-03-20
SPECIAL DEAL ALERT! One Month FREE on Move-In!,"$2,906 ",1br,656,None listed,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
Highly Upgraded Junior 1+1 in West LA/Palms + Updated Kitchen + F/P,"$2,350 ",1br,630,None listed,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
"Santa Monica CA, Elevator Access, 1/bd 1/ba","$2,471 ",1br,382,"1447 Lincoln Blvd, Santa Monica, CA 90401",1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
DON'TWAIT! Get One Month FREE Rent on Your New Lease!,"$2,911 ",1br,656,None listed,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
2 Weeks Free | 1 Bedroom in Westwood | Patio/Balcony | A/C,"$2,695 ",1br,750,"10989 Rochester Avenue, Los Angeles, CA 90024",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
"Outdoor Lounges, Brand New 1 Bedroom in West Los Angeles, SPECIALS!","$3,438 ",1br,711,"11916 West Pico Boulevard, Los Angeles, CA 90064",1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
Your Next Home Awaits! Enjoy One Month FREE Rent!,"$2,887 ",1br,640,None listed,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,2024-03-20
ACT QUICKLY! One Month FREE Rent on Select Apartments!,"$2,861 ",1br,656,None listed,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
☕ 1 Bedroom in West Los Angeles + Fireplace + Spa/Hot Tub  ☕,"$2,895 ",1br,750,"2600 Overland Avenue, West Los Angeles, CA 90064",1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
"Trendy Cabinetry, Community BBQ Grilling Area, Cozy Fireplaces","$2,591 ",1br,647,None listed,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,2024-03-20
1 Bedroom w/ DEN in Westside/Palms -Fitness Center -Community Lounge,"$2,850 ",1br,855,None listed,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
Studio unit in a Single Family House,"$1,900 ",1br,402,None listed,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,2024-03-20
Start Saving NOW! One Month FREE Ren on Apartments!,"$2,883 ",1br,628,"1440 Butler Avenue, Los Angeles, CA 90025",1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
Special Offer Inside! Get One Month Free Rent on Your New Lease!,"$2,918 ",1br,628,None listed,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
1 Bedroom in Venice + Picnic Area with BBQ + Spacious Walk-in Closet,"$2,895 ",1br,750,"237 Fourth Avenue, Venice, CA 90291",1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
Wood Like Floors | Ceiling Fan | West Los Angeles 1 Bedroom 1 Bath,"$2,350 ",1br,700,None listed,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
"CCI- Brand new luxury 1 bed, 1 bath with an office","$2,895 ",1br,650,"10473 Santa Monica Blvd, Los Angeles, CA 90025",1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
West Los Angeles 1 Bedroom 1 Bath with Plank Flooring,"$2,895 ",1br,700,"1801 Federal Avenue, Los Angeles, CA 90025",1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
1 Bedroom 1 BA in Culver City ^ Billiards Room ^ Remodeled ^ Garage,"$2,895 ",1br,750,"2600 Overland Avenue, West Los Angeles, CA 90064",1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
Unlock Savings! Move in Today and Receive One Month FREE Rent!,"$2,858 ",1br,628,None listed,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
Walk to UCLA | 1 Bedroom 1 Bath in Westwood | Parking | Gated Access,"$2,725 ",1br,700,"433 Kelton Avenue, Los Angeles, CA 90024",1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
Score BIG Savings! One Month FREE Rent on Move-In!,"$2,700 ",1br,590,None listed,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
"1/bd 1/ba, Private Balconies, 24-Hour Laundry Facility On-Site","$2,471 ",1br,382,"1447 Lincoln Blvd, Santa Monica, CA 90401",1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
1 Bedroom Suite in Westwood Village ^ Rooftop Pool ^ Spacious Closets,"$3,195 ",1br,650,"1033 Hilgard Avenue, Los Angeles, CA 90024",1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
Seize the Savings: One Month FREE Rent on Available Units!,"$2,864 ",1br,640,None listed,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
Discover what it feels like to love where you live at Indie Westside,"$2,858 ",1br,745,"3740 Keystone Av, Los Angeles, CA 90034",1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
REMODELD BaLcNy FRPLClsets PkG LnDrY GaTed Quiet A/Cat FRig DSh+++++++,"$2,195 ",1br,750,"COLBY AVE., West Los Angeles, Sawtelle, CA 90025",1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
Swimming Pool ^ 1 Bedroom in Palms ^ Specials ^ Wood Style Flooring,"$1,900 ",1br,550,"3258 Overland Avenue, Palms, CA 90034",1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
1 Bedroom in West Los Angeles * Large Closets * Lease Today!,"$2,500 ",1br,650,"1737 Stoner Avenue, Los Angeles, CA 90025",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
"1 Bedroom in Westwood, Brand New Gym, Heated Pool, Plank Floors","$3,395 ",1br,700,"870 Hilgard Avenue, Los Angeles, CA 90024",1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,2024-03-20
1 Bed 1 Bath Near Everything Westwood +Parking,"$2,850 ",1br,,"1400 Midvale Ave, Los Angeles, CA 90024",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,2024-03-20
2 Weeks Free | 1 Bedroom 1 Bath in Palms | Call and Schedule Your Tour,"$1,900 ",1br,550,"3258 Overland Avenue, Palms, CA 90034",1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
Close to UCLA | Renovated 1 Bedroom 1 Bath in Westwood | Pet-Friendly,"$2,395 ",1br,707,None listed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
1 Bedroom in Westwood -Air Conditioning -Renovated -Plank Floors,"$2,495 ",1br,653,None listed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
Spacious Walk-In Showers with Glass Sliding Doors,"$3,257 ",1br,800,"10959 Rochester Avenue, Los Angeles, CA 90024",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,2024-03-20
1 Bedroom in West Los Angeles ^ SS Appliances ^ Patio/Balcony,"$2,595 ",1br,800,"1709 South Westgate Avenue, West Los Angeles, CA 90025",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
"1 Month Free * Kitchenware Included, Furnished Co-Living in West LA","$2,395 ",1br,182,"Butler Ave, Los Angeles, CA 90025",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,2024-03-20
Your New Home Awaits! Enjoy One Month FREE Rent!,"$2,864 ",1br,640,"11411 Ohio Avenue, Los Angeles, CA 90025",1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
Refrigerator * Balcony * Newly Renovated 1 Bedroom in Mar Vista,"$2,625 ",1br,,None listed,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,2024-03-20
"Simply stunning community with waterfront views. 1 Bd, 1 Ba available!","$3,360 ",1br,720,"4108 Del Rey Ave, Marina del Rey, CA 90292",1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,2024-03-20
Gorgeous waterfront views at Tribeca Urban Apartments,"$3,360 ",1br,720,"4108 Del Rey Ave, Marina del Rey, CA 90292",1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,2024-03-20
Stainless Steel Appls | 2 Bedroom 2 Bath in Palms | Patio/Balcony,"$4,500 ",1br,1100,None listed,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
1 Bed 1 Bath in West L.A | Gas Range | Vinyl Plank Flrs | Call Now,"$2,350 ",1br,700,None listed,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
"Situated in Venice!, Window Coverings, 1/BD 1/BA","$2,870 ",1br,575,"1720 Pacific Ave, Venice, CA 90291",1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
"SP- Luxury 1 bed, 1 bath w/ in unit laundry","$2,850 ",1br,556,"1831 Sawtelle Blvd, Los Angeles, CA 90025",1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
